N°,Sector principal,Subsectores,Fuente,Página web,Descripción,Organización,SubOrganización,Tipo principal,Tipos secundarios
1,Finanzas,Finanzas,SVX Colombia,https://svxcolombia.com/,SVX Colombia is an impact financial services firm that promotes purpose-driven investment in Colombia and the region. ,Organización sin fines de lucro (ONG),Organización sin fines de lucro,Financiación,Inversión de impacto
2,Desarrollo,"Desarrollo comunitario
Agricultura sostenible",La Fundación Interamericana (IAF),https://www.iaf.gov/es/,La Fundación Interamericana (IAF) es un organismo independiente de ayuda exterior de EE.UU. creado por el Congreso en 1969 que invierte directamente en el desarrollo localizado liderado por la comunidad en toda América Latina y el Caribe,Pública,Pública aunque independiente del gobiernos de los Estados Unidos,Subvención,Subvenciones
3,Desarrollo,Fomentar el desarrollo sostenible,Agencia Española de Cooperación Internacional para el Desarrollo (AECID),https://www.aecid.es/inicio,"La AECID se define en la Ley de Cooperación como la agencia estatal adscrita al Ministerio de Asuntos Exteriores, Unión Europea y Cooperación, responsable del fomento, programación, coordinación operativa, gestión y ejecución de las políticas públicas de cooperación española para el desarrollo sostenible, acción humanitaria y educación para el desarrollo sostenible y la ciudadanía global.",Pública,Pública,Cooperación internacional,Cooperación internacional
4,Ambiental,"For the Conservation of Life. Give access to clean water, provide educational opportunities and improve the health of those less fortunate. Protect and preserve our environment and Indigenous cultures.",The White Feather Foundation (TWFF),https://whitefeatherfoundation.com/,"We embrace environmental and humanitarian issues; and in conjunction with partners from around the world, we help to raise funds for the betterment of all life.",Privada sin fines de lucro (private nonprofit),Private nonprofit ,Financiación,Funding
5,Ambiental,ODS,Agence Française de Développement (AFD),https://www.afd.fr/es,"El Grupo AFD, compuesto por la Agence française de développement, Proparco y Expertise France, implementa la política de cooperación internacional definida por las autoridades francesas. ",Pública,Pública,Financiación,"Préstamos, subvenciones, fondos"
6,Desarrollo,"Gobernanza, seguridad, clima, salud, educación, emprendimiento, industrias culturales y creativas, etc.",Expertise France,https://www.expertisefrance.fr/en,Expertise France es una agencia internacional de cooperación al desarrollo que opera bajo los auspicios del gobierno francés.,Pública,Pública,Cooperación internacional,Cooperación internacional
7,Ambiental,"Ciencia, cultura, medio ambiente, innovación social","La Fundación ""la Caixa""",https://fundacionlacaixa.org/es/home,"Comprometida con el desarrollo socioeconómico del territorio desde sus inicios, la Fundación ”la Caixa” pronto proporcionó servicios en el ámbito social, cultural y cívico para mejorar la calidad de vida de las personas.",Privada sin fines de lucro (private nonprofit),Privada de naturaleza no lucrativa,Academia,Convocatoria de investigación
8,Ambiental,Nature conservation,The Rufford Foundation,https://www.rufford.org/,The Rufford Foundation is a UK registered charity which funds nature conservation projects across the developing world.,Organización caritativa sin fines de lucro,Non-profit charity ,Subvención,Grants/Funding
9,Ambiental,"Wildlife, landscapes, and people",Whitley Fund for Nature (WFN),https://whitleyaward.org/,"Whitley Fund for Nature (WFN) is a fundraising and grant-giving nature conservation charity, generously supported for more than 20 years by our Patron HRH The Princess Royal and WFN Ambassador and former Trustee Sir David Attenborough.",Organización sin fines de lucro (ONG),Non-profit organization,Subvención,Grants
10,Ambiental,"Biological research, conservation education, community outreach, conservation management, field training and professional development.",IDEA WILD,https://ideawild.org/,"IDEA WILD awards small equipment grants.
We receive equipment requests daily, 50 -70 requests/month, and prioritize them based on conservation impact, recipient need, and project location. Additional consideration is given to projects in areas identified as critical biodiversity hotspots.",Organización sin fines de lucro (ONG),Non-profit organization,Subvención,Grants
11,Ambiental,Conserve biodiversity and promote sustainable development locally,Conservation Leadership Programme (CLP),https://www.conservationleadershipprogramme.org/,"Since 1985, CLP has been working to preserve biodiversity by funding and training early-career conservation leaders through our annual Team Awards",Privada,Private,Financiación,"Funding, training, mentorship and continuous peer-to-peer support"
12,Ambiental,"Saves wildlife and wild places worldwide through science, conservation action, education, and inspiring people to value nature",Wildlife Conservation Society,https://www.wcs.org/,The Wildlife Conservation Society saves wildlife and wild places around the world. WCS runs four zoos and an aquarium in New York and has global conservation programs in more than 50 countries.,Organización sin fines de lucro (ONG),Non-profit organization,Subvención,Grants
13,Ambiental,"Climate action, Nature action and Chemicals and pollution action",The United Nations Environment Programme (UNEP) ,https://www.unep.org/,"The United Nations Environment Programme (UNEP) is the United Nations’ leading global authority on the environment, driving transformational change on the triple planetary crisis: the crisis of climate change, the crisis of nature, land and biodiversity loss, and the crisis of pollution and waste.   ",Pública,Público,Subvención,"Grants, Careers, training"
